11
1	509	501	312	1019	736	656	60	1039	726	2314
509	1	126	474	1526	1226	1133	532	1449	1122	2789
501	126	1	541	1516	1184	1084	536	1371	1045	2728
312	474	541	1	1157	980	919	271	1333	1029	2553
1019	1526	1516	1157	1	478	583	996	858	855	1504
736	1226	1184	980	478	1	115	740	470	379	1581
656	1133	1084	919	583	115	1	667	455	288	1661
60	532	536	271	996	740	667	1	1066	759	2320
1039	1449	1371	1333	858	470	455	1066	1	328	1387
726	1122	1045	1029	855	379	288	759	328	1	1697
2314	2789	2728	2553	1504	1581	1661	2320	1387	1697	1
